"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"USC00200228","ANN ARBOR SE, MI US","2018-12-06",,,,,"0.00","0.1","0.0",,"32","20","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-07",,,,,"0.02","0.2","0.0",,"34","23","24",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-08",,,,,"0.00","0.1","0.0",,"34","19","19",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-09",,,,,"0.00","0.0","0.0",,"31","9","9",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-10",,,,,"0.00","0.0","0.0",,"37","9","23",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-11",,,,,"0.00","0.0","0.0",,"28","23","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-12",,,,,"0.00","0.0","0.0",,"33","18","25",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-13",,,,,"0.08","0.1","0.0",,"40","25","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-14",,,,,"0.14","0.0","0.0",,"40","28","35",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-15",,,,,"0.00","0.0","0.0",,"46","30","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-16",,,,,"0.00","0.0","0.0",,"40","29","29",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-17",,,,,"0.00","0.0","0.0",,"45","29","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-18",,,,,"0.00","0.0","0.0",,"40","18","22",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-19",,,,,"0.00","0.0","0.0",,"37","21","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-20",,,,,"0.00","0.0","0.0",,"45","26","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-21",,,,,"0.58","0.0","0.0",,"43","33","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-22",,,,,"0.00","0.0","0.0",,"40","30","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-23",,,,,"0.00","0.0","0.0",,"33","30","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-24",,,,,"0.00","0.0","0.0",,"36","31","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-25",,,,,"0.00","0.0","0.0",,"32","19","20",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-26",,,,,"0.01","0.2","0.0",,"32","20","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-27",,,,,"0.00","0.0","0.0",,"49","25","35",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-28",,,,,"0.27","0.0","0.0",,"51","35","50",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-29",,,,,"0.04","0.5","1.0",,"54","30","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-30",,,,,"0.07","0.9","1.0",,"31","26","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-31",,,,,"0.00","0.0","0.0",,"36","25","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-01",,,,,"0.84","0.0","0.0",,"48","31","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-02",,,,,"0.02","0.1","0.0",,"36","25","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-03",,,,,"0.04","0.3","0.0",,"33","26","29",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-04",,,,,"0.00","0.0","0.0",,"38","29","29",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-05",,,,,"0.00","0.0","0.0",,"51","25","28",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-06",,,,,"0.00","0.0","0.0",,"51","27","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-07",,,,,"0.00","0.0","0.0",,"44","30","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-08",,,,,"0.08","0.0","0.0",,"53","32","39",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-09",,,,,"0.12","0.2","0.0",,"50","26","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-10",,,,,"0.02","0.5","0.0",,"26","21","22",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-11",,,,,"0.00","0.0","0.0",,"28","12","13",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-12",,,,,"0.00","0.0","0.0",,"31","12","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-13",,,,,"0.00","0.0","0.0",,"31","21","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-14",,,,,"0.00","0.0","0.0",,"34","9","10",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-15",,,,,"0.00","0.0","0.0",,"36","9","25",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-16",,,,,"0.02","0.0","0.0",,"31","24","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-17",,,,,"0.00","0.0","0.0",,"33","16","22",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-18",,,,,"0.03","0.3","0.0",,"31","22","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-19",,,,,"0.17","1.8","2.0",,"31","20","20",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-20",,,,,"0.28","4.7","5.0",,"21","0","0",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-21",,,,,"0.00","0.0","5.0",,"13","-8","-8",,,"0.4",,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-22",,,,,"0.00","0.0","5.0",,"18","-8","11",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-23",,,,,"0.53","0.1","3.0",,"33","11","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-24",,,,,"0.12","0.0","1.0",,"41","27","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-25",,,,,"0.02","0.3","2.0",,"29","10","10",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-26",,,,,"0.00","0.1","1.0",,"16","2","5",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-27",,,,,"0.16","3.3","5.0",,"21","5","15",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-28",,,,,"0.00","0.1","4.0",,"20","-4","10",,,"0.4",,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-29",,,,,"0.41","4.3","7.0",,"35","10","15",,,"0.8",,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-30",,,,,"0.02","0.4","6.0",,"16","-9","-9",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-01-31",,,,,"0.00","0.0","6.0",,"-4","-18","-17",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-01",,,,,"0.00","0.0","6.0",,"5","-17","-3",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-02",,,,,"0.00","0.0","6.0",,"18","-3","11",,,"0.8",,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-03",,,,,"0.00","0.0","3.0",,"41","11","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-04",,,,,"0.00","0.0","0.0",,"53","36","44",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-05",,,,,"0.16","0.0","0.0",,"51","33","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-06",,,,,"0.44","0.3","0.0",,"38","28","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-07",,,,,"0.09","0.0","0.0",,"34","31","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-08",,,,,"0.06","0.1","0.0",,"55","16","16",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-09",,,,,"0.03","0.6","0.0",,"18","9","9",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-10",,,,,"0.00","0.0","0.0",,"26","9","16",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-11",,,,,"0.09","1.2","1.0",,"27","16","24",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-12",,,,,"0.38","1.0","2.0",,"30","24","29",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-13",,,,,"0.31","1.9","3.0",,"34","21","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-14",,,,,"0.09","2.7","3.0",,"27","10","23",,,"0.5",,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-15",,,,,"0.00","0.0","1.0",,"44","23","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-16",,,,,"0.00","0.0","1.0",,"31","17","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-17",,,,,"0.00","0.0","1.0",,"27","21","22",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-18",,,,,"0.40","5.4","6.0",,"26","18","18",,,"0.6",,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-19",,,,,"0.00","0.0","5.0",,"29","2","4",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-20",,,,,"0.00","0.0","4.0",,"32","4","24",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-21",,,,,"0.10","0.2","3.0",,"37","24","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-22",,,,,"0.00","0.0","3.0",,"40","19","19",,,"0.6",,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-23",,,,,"0.00","0.0","2.0",,"41","19","28",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-24",,,,,"0.22","0.0","0.0",,"47","28","43",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-25",,,,,"0.05","1.0","1.0",,"46","16","17",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-26",,,,,"0.02","0.2","0.0",,"27","15","15",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-27",,,,,"0.15","1.6","2.0",,"26","15","18",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-02-28",,,,,"0.00","0.0","2.0",,"27","6","12",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-01",,,,,"0.00","0.0","1.0",,"30","9","10",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-02",,,,,"0.00","0.0","0.0",,"37","10","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-03",,,,,"0.00","0.0","0.0",,"34","16","16",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-04",,,,,"0.02","0.3","0.0",,"29","6","9",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-05",,,,,"0.02","0.6","1.0",,"20","6","8",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-06",,,,,"0.04","0.6","1.0",,"21","5","6",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-07",,,,,"0.02","0.5","1.0",,"22","6","16",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-08",,,,,"0.00","0.0","0.0",,"28","10","13",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-09",,,,,"0.00","0.0","0.0",,"41","13","19",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-10",,,,,"0.65","0.0","0.0",,"47","19","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-11",,,,,"0.01","0.0","0.0",,"39","27","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-12",,,,,"0.00","0.0","0.0",,"42","19","19",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-13",,,,,"0.00","0.0","0.0",,"47","19","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-14",,,,,"0.05","0.0","0.0",,"54","34","49",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-15",,,,,"0.36","0.0","0.0",,"65","40","40",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-16",,,,,"0.19","0.3","0.0",,"41","30","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-17",,,,,"0.04","0.5","0.0",,"37","16","16",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-18",,,,,"0.00","0.2","0.0",,"39","15","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-19",,,,,"0.00","0.0","0.0",,"42","21","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-20",,,,,"0.00","0.0","0.0",,"49","21","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-21",,,,,"0.11","0.0","0.0",,"45","30","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-22",,,,,"0.00","0.0","0.0",,"43","30","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-23",,,,,"0.01","0.1","0.0",,"45","22","23",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-24",,,,,"0.00","0.0","0.0",,"50","23","28",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-25",,,,,"0.00","0.0","0.0",,"55","28","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-26",,,,,"0.00","0.0","0.0",,"48","20","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-27",,,,,"0.00","0.0","0.0",,"48","19","20",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-28",,,,,"0.02","0.0","0.0",,"54","20","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-29",,,,,"0.05","0.0","0.0",,"68","38","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-30",,,,,"0.62","0.0","0.0",,"54","37","37",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-03-31",,,,,"0.70","1.2","1.0",,"43","21","22",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-01",,,,,"0.00","0.0","0.0",,"33","18","18",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-02",,,,,"0.00","0.0","0.0",,"44","18","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-03",,,,,"0.00","0.0","0.0",,"56","32","39",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-04",,,,,"0.00","0.0","0.0",,"55","34","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-05",,,,,"0.01","0.0","0.0",,"42","35","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-06",,,,,"0.00","0.0","0.0",,"61","36","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-07",,,,,"0.00","0.0","0.0",,"69","36","41",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-08",,,,,"0.01","0.0","0.0",,"72","41","57",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-09",,,,,"0.00","0.0","0.0",,"73","47","47",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-10",,,,,"0.00","0.0","0.0",,"62","33","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-11",,,,,"0.03","0.2","0.0",,"45","32","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-12",,,,,"0.03","0.0","0.0",,"57","36","54",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-13",,,,,"0.18","0.0","0.0",,"63","37","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-14",,,,,"0.23","0.3","0.0",,"58","33","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-15",,,,,"0.46","0.2","0.0",,"38","32","35",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-16",,,,,"0.00","0.0","0.0",,"55","32","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-17",,,,,"0.02","0.0","0.0",,"68","42","44",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-18",,,,,"0.06","0.0","0.0",,"60","44","58",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-19",,,,,"0.69","0.0","0.0",,"66","41","41",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-20",,,,,"0.02","0.0","0.0",,"44","39","39",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-21",,,,,"0.97","0.0","0.0",,"43","39","39",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-22",,,,,"0.00","0.0","0.0",,"69","39","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-23",,,,,"0.04","0.0","0.0",,"73","42","59",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-24",,,,,"0.00","0.0","0.0",,"68","33","35",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-25",,,,,"0.00","0.0","0.0",,"64","35","48",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-26",,,,,"1.39","0.0","0.0",,"60","47","49",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-27",,,,,"0.01","0.0","0.0",,"63","37","37",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-28",,,,,"0.41","0.1","0.0",,"53","35","35",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-29",,,,,"0.00","0.0","0.0",,"58","35","40",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-04-30",,,,,"0.39","0.0","0.0",,"45","36","41",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-01",,,,,"1.27","0.0","0.0",,"51","41","45",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-02",,,,,"0.00","0.0","0.0",,"69","45","49",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-03",,,,,"0.19","0.0","0.0",,"60","47","47",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-04",,,,,"0.02","0.0","0.0",,"53","46","46",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-05",,,,,"0.00","0.0","0.0",,"64","36","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-06",,,,,"0.00","0.0","0.0",,"73","38","46",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-07",,,,,"0.25","0.0","0.0",,"75","42","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-08",,,,,"0.06","0.0","0.0",,"52","40","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-09",,,,,"0.00","0.0","0.0",,"61","42","52",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-10",,,,,"0.06","0.0","0.0",,"75","50","50",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-11",,,,,"0.00","0.0","0.0",,"59","35","40",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-12",,,,,"0.03","0.0","0.0",,"57","40","46",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-13",,,,,"0.09","0.0","0.0",,"54","43","44",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-14",,,,,"0.01","0.0","0.0",,"56","33","37",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-15",,,,,"0.00","0.0","0.0",,"69","37","43",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-16",,,,,"0.00","0.0","0.0",,"74","43","46",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-17",,,,,"0.00","0.0","0.0",,"76","46","63",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-18",,,,,"0.36","0.0","0.0",,"69","47","47",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-19",,,,,"0.02","0.0","0.0",,"74","47","57",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-20",,,,,"0.45","0.0","0.0",,"77","54","54",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-21",,,,,"0.00","0.0","0.0",,"56","36","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-22",,,,,"0.00","0.0","0.0",,"63","42","53",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-23",,,,,"0.39","0.0","0.0",,"72","53","63",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-24",,,,,"0.01","0.0","0.0",,"79","48","52",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-25",,,,,"0.00","0.0","0.0",,"70","52","60",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-26",,,,,"0.07","0.0","0.0",,"85","60","64",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-27",,,,,"0.03","0.0","0.0",,"72","48","53",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-28",,,,,"0.19","0.0","0.0",,"77","53","63",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-29",,,,,"0.15","0.0","0.0",,"81","56","58",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-30",,,,,"0.02","0.0","0.0",,"73","57","60",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-05-31",,,,,"0.45","0.0","0.0",,"71","52","55",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-01",,,,,"0.00","0.0","0.0",,"82","55","65",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-02",,,,,"1.39","0.0","0.0",,"77","57","57",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-03",,,,,"0.00","0.0","0.0",,"71","41","45",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-04",,,,,"0.00","0.0","0.0",,"68","44","48",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-05",,,,,"0.12","0.0","0.0",,"73","48","63",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-06",,,,,"0.08","0.0","0.0",,"82","58","58",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-07",,,,,"0.00","0.0","0.0",,"75","51","57",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-08",,,,,"0.00","0.0","0.0",,"81","50","59",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-09",,,,,"0.00","0.0","0.0",,"83","59","65",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-10",,,,,"1.35","0.0","0.0",,"75","65","66",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-11",,,,,"0.20","0.0","0.0",,"71","44","49",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-12",,,,,"0.00","0.0","0.0",,"78","48","54",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-13",,,,,"0.94","0.0","0.0",,"78","54","55",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-14",,,,,"0.14","0.0","0.0",,"63","46","49",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-15",,,,,"0.00","0.0","0.0",,"74","49","62",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-16",,,,,"0.02","0.0","0.0",,"70","57","57",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-17",,,,,"0.55","0.0","0.0",,"64","56","56",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-18",,,,,"0.00","0.0","0.0",,"71","55","58",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2019-06-19",,,,,"0.00","0.0","0.0",,"80","57","61",,,,,,
